ID,Start date,End date,Comment,Country,Department,Seniority,Age,Contract type,Contract status,Cost center,HC
14588,July-2017,,,France,Engineering,7/17/2017,34,Open ended,Employed,1321SE,1
15671,July-2017,,October joiner,India,Engineering,10/15/2020,46,Open ended,Employed,1329SE,1
13707,July-2017,,,France,Infrastructure Services,9/11/2006,33,Open ended,Employed,1210SE,1
15672,July-2017,,October joiner,India,Professional Services,10/19/2020,25,Open ended,Employed,1015SE,1
14113,July-2017,,,Singapore,Global Markets APAC,4/2/2012,36,Open ended,Employed,1015SE,1
14943,July-2017,,,United States,Engineering,4/26/2011,36,Open ended,Employed,1323SE,1
14680,July-2017,,,Romania,Professional Services,4/2/2018,30,Open ended,Employed,1015SE,1
15645,July-2017,,,India,Engineering,8/3/2020,24,Open ended,Employed,1330SE,1
15630,July-2017,,,Russia,Engineering,8/10/2020,,Open ended,Employed,1322SE,1
15441,July-2017,,,India,Engineering,5/10/2019,,Intern,Employed,1324SE,0
15663,July-2017,,October joiner,India,Engineering,10/5/2020,38,Open ended,Employed,1329SE,1
15646,July-2017,,,India,Infrastructure Services,8/17/2020,41,Open ended,Employed,1180SE,1
15289,July-2017,,,Philippines,Engineering,2/25/2019,,Open ended,Employed,1327SE,1
15625,July-2017,,,Romania,Customer Success,8/17/2020,21,Open ended,Employed,1500GB,1
15442,July-2017,,,India,Engineering,12/10/2018,,Freelancer contract,Employed,1324SE,0
15443,August-2017,,,India,Engineering,4/8/2019,,Freelancer contract,Employed,1324SE,0
15612,August-2017,,,Japan,Global Markets APAC,8/1/2020,27,Open ended,Employed,1022HK,1
15066,August-2017,,,India,Professional Services,8/22/2016,28,Open ended,Employed,1015SE,1
15665,August-2017,,October joiner,Russia,Engineering,10/26/2020,,Open ended,Employed,1322SE,1
15571,August-2017,12/31/2020,,Russia,Engineering,6/1/2020,27,Intern,Employed,1322SE,0
15667,August-2017,,,United Kingdom,Product Strategy,11/2/2020,,Open ended,Employed,1166SE,0
15169,August-2017,,,Russia,Engineering,7/16/2018,26,Open ended,Employed,1322SE,1
14618,August-2017,,,United Kingdom,Global Markets EMEA,2/14/2018,32,Open ended,Employed,2340GB,1
15642,August-2017,,,India,Engineering,8/3/2020,22,Open ended,Employed,1329SE,1
15493,August-2017,,,France,G&A / People Office,12/9/2019,38,Open ended,Employed,1140SE,1
15329,August-2017,,,Russia,Engineering,4/1/2019,24,Open ended,Employed,1322SE,1
15107,August-2017,3/28/2021,NRI October 2020,Sweden,G&A / Finance Office,6/7/2010,37,Open ended,Employed,1270SE,0
14474,August-2017,11/1/2016,Parental,Romania,Professional Services,11/1/2016,29,Open ended,Employed,1015SE,0
15619,August-2017,5/20/2021,,Romania,Engineering,7/20/2020,22,Intern,Employed,1321SE,0
14742,August-2017,8/31/2020,,Sweden,Engineering,9/1/2006,42,Open ended,Left,,0
15338,August-2017,,,Russia,Engineering,4/3/2019,26,Open ended,Employed,1322SE,1
15177,August-2017,,,United States,Engineering,7/30/2018,25,Open ended,Employed,1328SE,1
15668,August-2017,,,Romania,G&A / People Office,11/16/2020,37,Open ended,Future hire,N/A,0
14838,August-2017,,,Russia,Infrastructure Services,8/13/2015,29,Open ended,Employed,1180SE,1
15353,August-2017,,,Romania,Engineering,5/6/2019,25,Open ended,Employed,1321SE,1
14725,August-2017,,,Romania,Engineering,8/12/2019,22,Open ended,Employed,1321SE,1
15241,August-2017,,,Romania,Engineering,11/12/2018,26,Open ended,Employed,1321SE,1
15647,August-2017,,,Romania,Engineering,9/7/2020,35,Open ended,Employed,1321SE,1
14922,August-2017,,,Hong Kong,Global Markets APAC,4/20/2015,43,Open ended,Employed,1023HK,1
13662,August-2017,,,France,G&A / Finance Office,10/30/2014,41,Open ended,Employed,1060SE,1
14432,August-2017,,,France,Engineering,7/11/2016,25,Open ended,Employed,1321SE,1
15641,August-2017,10/23/2020,October Leaver,Romania,Professional Services,8/17/2020,27,Open ended,Left,1015SE,0
